student_grade.id,student_grade.student_id,student_grade.grade_id,student_grade.student_score
1,1,1,81
2,1,2,82
3,1,3,83
4,1,4,84
5,1,5,85
6,2,1,81
7,2,2,82
8,2,3,83
9,2,4,84
10,2,5,85
11,3,1,81
12,3,2,82
13,3,3,83
14,3,4,84
15,3,5,85
16,4,1,81
17,4,2,82
18,4,3,83
19,4,4,84
20,4,5,85
21,5,1,81
22,5,2,82
23,5,3,83
24,5,4,84
25,5,5,85
26,6,6,81
27,6,7,82
28,6,8,83
29,6,9,84
30,6,10,85
31,7,6,81
32,7,7,82
33,7,8,83
34,7,9,84
35,7,10,85
36,8,6,81
37,8,7,82
38,8,8,83
39,8,9,84
40,8,10,85
41,9,6,81
42,9,7,82
43,9,8,83
44,9,9,84
45,9,10,85
46,10,6,81
47,10,7,82
48,10,8,83
49,10,9,84
50,10,10,85
